tweet,date,likes,retweets
"Hey #Hawaii wise up! Fact-check #CrazyMazie! #Democrats lied to get #ObamaCare, lied to get #abortion #RoevWade, lie about #TRUMP. #USA #Constitution protects our citizens. #WalkAwayFromDemocrats #SocialismKills #Liars #Cheaters #VoteThemOut2020#MAGA #KAG #Trump2020Landslide","Feb 2, 2020",1,0
"#ERA AND #ABORTION“This is not the Equal Rights Amendment, but rather the Everything Related to Abortion Act...”Pro-Life Students Are Speaking Out Against Pro-Abortion Equal Rights Amendment https://studentsforlife.org/2020/01/06/pro-life-students-are-speaking-out-against-pro-abortion-equal-rights-amendment/…","Feb 1, 2020",0,0
At the #abortion clinic we’re #notcounseling. We’re pleading with them to delay their semester so they can give their baby up for adoption.,"Feb 2, 2020",0,0
At the #abortion clinic we’re #notcounseling. We’re being mocked by actively aborting women who laugh and tell us they “eat dead babies.”  #notavictim,"Feb 2, 2020",0,0
The commercial that @FOXTV supposedly won't air on the @SuperBowl. #SuperBowl #SuperBowlLIV #Fox #Choice #FacesofChoice #Abortion #AbortionisMurder https://youtu.be/hm24p8cBPKQ,"Feb 2, 2020",1,0
At the #abortion clinic we’re #notcounseling. We’re imploring men who want to hide in the car to go back in and bring her and their baby out. “She’ll listen to you. She needs you now more than ever to be courageous.”,"Feb 2, 2020",0,0
#hrw [says] #Colombia [should] Uphold Women’s Rights in #Abortion Case https://hrw.org/news/2020/01/31/colombia-uphold-womens-rights-abortion-case…,"Feb 1, 2020",0,0
I plead the blood of #Jesus over my sins and the sins of America. #God end #abortion and send #revival  to #AMERICA @FacetheChoice,"Feb 2, 2020",2,1
Take just a few minutes to check out the Monitor’s “Redirect” video on #abortion. A great piece for everyone - no matter where you’re coming from on the issue. https://csmonitor.com/USA/Politics/2020/0131/The-Redirect-Why-facts-matter-on-both-sides-of-abortion-debate-video?cmpid=shared-twitter… via @csmonitor,"Feb 2, 2020",2,2
" New Podcast! ""Episode 64: Born Equal Before Born (February 2, 2020)"" on @Spreaker #abortion #bobhennekeys #catholicchurch #catholicfaith #catholiclife #catholicscripture #letterstoamerica #marchforlife #prolife #raygerard #sacredscripture","Feb 2, 2020",0,0
#feminist #abortion These Anti-Abortion Women Say They're the Real Feminists: ‘Feminism Includes Women Who Aren’t Born Yet’ https://vice.com/en_us/article/dyg39w/these-anti-abortion-women-say-theyre-the-real-feminists-feminism-includes-women-who-arent-born-yet?utm_campaign=sharebutton… via @vice,"Feb 2, 2020",0,0
The #UnitedStates is tying #abortionpolicy in other countries to #humanitarianaid despite the fact that #abortion is legal in the #USA— Think about our place in the world  we are failing to keep our #promises. Our goodwill and trustworthiness matter @WHO @Refugees @UNHumanRights,"Feb 2, 2020",0,0
See how @AbortionStories and @PPFA are trying to lessen the stigma of #abortion. https://buff.ly/37PGaPV #prochoice #abortionishealthcare,"Feb 2, 2020",1,0
"It is not false information, they do have arms and legs... this ultrasound is at 11 weeks. In most states #abortion is permitted up to 24 weeks/6 months. So by 24 weeks baby is even more developed","Feb 1, 2020",3,0
"No matter who you are, where you are, or where you are going,  you should have access to factual, scientifically accurate information about #abortion.","Feb 2, 2020",0,0
"ICYMI: our recent blog post on the latest scientific developments in #fetalpain, which suggest it may be felt as early as #12weeks. @JME_BMJ  #abortion #foetalpain","Feb 2, 2020",0,0
I’m sorry for your lost.  The #abortion industry has duped millions of men and women. Please know that Jesus brings healing and restoration! I pray you come to a place of peace about the abortion decision. #proabundantlife #prolove #Godforgives,"Feb 2, 2020",2,0
"I am wide open to advice as to who to vote for as a #Christian who believes there are moderate and compassionate answers to #abortion, #immigration, #healthcare, and #guncontrol issues in our country? Anyone? Anyone? #Bueller?","Feb 1, 2020",0,0
Because then too many people would wake up their #sillygame. #Drugs are a gateway to freedom from the #system. #ThePowersThatBe really don't want that. Now #abortion on the other hand...they feed on the #duality there and #eatitup.,"Feb 2, 2020",0,0
"@BoJackHorseman I LOVE this show, but as a Houstonian, I gotta point out that Diane is wrong. #Houston votes blue, and we're really the only place in the state where you CAN get an #abortion. Which is terrifying for the state, but please don't drag us through the mud.","Feb 1, 2020",0,0
"how about persuading ""baby killer""Genocide Gladys @GladysB returning the #abortion laws the way they were.","Feb 2, 2020",0,0
"Originally, ringfenced money was set aside for this, but after #repeal most of the money was diverted to pay for #abortion. @SimonHarrisTD's only ""achievement"" as Minister for Health is bringing in #abortion; the positive coverage flowed in from abortion supporters in the media.","Feb 2, 2020",0,0
"Vampires, that's cute fox boy #Abortion","Feb 1, 2020",0,0
#sacrementofreconcilliation#CatholicChurch but I still respect other people's religious #choice I understand #abortion and I still believe in the #USConstitution and freedom. I am not a Judge nor shall I judge another simply by thier physical being. #God gave us free will!,"Feb 2, 2020",0,0
"Can’t help the spin! As our press release clearly states, educational ads are coming for our #prolife  office holders at all levels to fight against @PPact and the #abortion machine. We’re stronger together ","Feb 2, 2020",1,0
See the Super Bowl Ad FOX Sports wouldn't run.Choice is not merely a word. Choice is a person. Learn their stories.http://facesofchoice.org#FacetheChoice #FacesofChoice #Superbowl2020 #SuperBowl #SuperBowlLIV #SuperBowlnaESPN #Football #NFL #ProLife #ProChoice #Abortion #Life,"Feb 2, 2020",72,60
"#DWTSIRLDid you know there is a #Galway branch of #GiannaCare?We are located in Galway city suburbsNeed help in #pregnancy or have you just had a baby?We are here to help after #abortion also Phone our nationwide helpline, DM, FB, live chat01-5322116 or 015322117","Feb 2, 2020",26,33
Happy 4th birthday to our little miracle! I’m so grateful he was born. I’m grateful for his sweet spirit #ProLife #abortion #fataldiagnosis #savethe1 #latetermabortion #PlannedParenthood #prochoice #miraclebaby,"Feb 2, 2020",8,3
"#GE2020A good friend,who'se forgotten more about politics than most of us will ever learn, said to me recently:""It might or might not be coincidental that the #FG TDs who will lose their seats will include strong pro-#abortion #TDs or TDs whose position on abortion ""evolved""..""","Feb 2, 2020",45,14
#DEFENDLIFEWith all the #liberals screaming to expand #abortion someone is here to take a stand@HumanDefenseINI is fighting for those tiny lives and they need supportAt a minimum everyone needs to:LikeFollowRetweet#DEFENDLIFE#EndAbortionNow#Prolife,"Feb 1, 2020",1,3
