tweet,date,likes,retweets
"The next time someone says #guncontrol is sensible & humane, remember these 5 de-bunked myths!!! http://mf.tt/MlVlz #tcot #molonlabe","Dec 21, 2014",3,3
"#GunControl Wldn't Curtail Violence, It'd Prevent Law Abiding Citizens From Protecting Themselves From Criminals Who'd Still Have Guns #tcot","Dec 27, 2014",4,4
.@UN arms trade treaty will also establish international gun registry http://bit.ly/1wOu9DY #guncontrol,"Dec 29, 2014",1,3
Ban #Democrats from owning #guns  #tcot #nra #guncontrol  #pjnet,"Dec 28, 2014",1,4
#GunControl morons call for kids to steal parents' #firearms - Bring Them To School ! http://bearingarms.com/crazed-gun-control-cultist-calls-children-steal-parents-firearms-bring-schools/… #2A #RKBA,"Dec 21, 2014",3,4
Canada is in a deep financial & moral crisis due to Harper's corruption. His solution? More guns http://safeandsensible.ca #cdnpoli #GunControl,"Dec 30, 2014",2,6
Dear @NRA It's been a year since my neighbor used a #gun to murder her husband.I wish you'd support #GunControl @bimmerella,"Dec 28, 2014",5,7
"#GunControl -- No matter what your opinion, you need to see this .. https://youtube.com/watch?v=eZo4hbGJjVI… | #2A #StayArmed #UnitedWeStand RT","Dec 26, 2014",5,9
"Did you know that 0 people were killed by cops in the United Kingdom, compared to 500+ in US? strict British #guncontrol #Ferguson #NYPD","Dec 20, 2014",3,4
The Hunters' Stand: WHAT THE MARTIN PLACE SIEGE RESPONSE REALLY SAYS A... http://thehunterstand.blogspot.com/2014/12/what-martin-place-siege-response-really.html?spref=tw…#guns #gunsense #guncontrol #sydneysiege,"Dec 25, 2014",2,1
Guns don't kill people 2 year olds playing in hand bags kill people. #guncontrol,"Dec 30, 2014",3,3
Julianne Moore Is Holding Up A Sign For #GunControl․ Because Celebrities. And Signs. http://chicksontheright.com/posts/item/26906-julianne-moore-is-holding-up-a-sign-for-gun-control-because-celebrities-and-signs… #tcot #2a #NRA #MolonLabe,"Dec 30, 2014",1,2
"Follow Up: Multiple Shots Fired Into Home of 14 Year Old Who Shot, Killed Home Invader Last Week http://ln.is/gunssavelives.net/se/bAkW0… #guncontrol #2a","Dec 27, 2014",1,3
#ATF Issues New Opinion Letter Stating That Shouldering Sig Brace Could Be Illegal http://gunssavelives.net/gun-industry/breaking-atf-issues-new-opinion-letter-stating-that-shouldering-sig-brace-is-illegal/… #guncontrol #2a #tcot,"Dec 26, 2014",1,3
I have no words: #guncontrol please: Woman at Walmart Accidentally Shot Dead by 2-Year-Old Son http://nyti.ms/1EGi5tK,"Dec 30, 2014",2,5
PBS gun control poll results – You have to see these numbers http://gunssavelives.net/blog/pbs-gun-control-poll-results-you-have-to-see-these-numbers/… #guncontrol #2a,"Dec 23, 2014",1,1
"After Newtown, Tucson & Aurora, it's time to reinstate the ban on high capacity magazines http://bit.ly/HykNCC #guncontrol #p2 #ldsdems","Dec 29, 2014",3,6
#JohnBoehner says #PBO ignores the American people because 60% support #KeyStoneXL!! Yet..90% also support #GunControl & Boehner says.......,"Dec 29, 2014",1,10
"#guncontrol video suggest that kids steal r guns, take it school, n turn it in? Thats like 5 felonies http://youtu.be/VFOhBAH3zPA #nj2ar #2a #NRA","Dec 23, 2014",3,3
Supreme Court conservatives back limits on 2nd Amendment http://bit.ly/12b55qU #gunsense #2A #guncontrol #SCOTUS #uniteblue #NRA,"Dec 29, 2014",2,4
A Supreme Precedent for Gun Laws http://bit.ly/12b55qU #guns #uniteblue #2A #guncontrol #gunsense #NRA,"Dec 28, 2014",2,6
Vote with Your Wallet Against #guncontrolSQUARE Does NOT support #2A http://2acheck.com/boycott-square/ #NJ2AS #tcot #ccot,"Dec 30, 2014",1,4
"2-year-old accidentally kills his mom in Wal-Mart which, proves kids & stupid people with guns, kills. #GunControl http://shar.es/1H5utn","Dec 30, 2014",1,3
Proposal seeks gun permits for #Colorado pot users http://bit.ly/1JQ9Qvg #marijuana #guncontrol,"Dec 23, 2014",2,4
"If we want children to go to schools without ""active shooter drills"" *or* active shooters, we need to get guns off the streets. #GunControl","Dec 21, 2014",1,2
RIP to the two NYPD officers who were killed in Brooklyn...So sad that all of these deaths are Soo preventable. Life is precious #GunControl,"Dec 20, 2014",3,1
"""The man who shot and killed 2 police officers in Brooklyn yesterday had a history of firearm arrests"" #GunControl","Dec 21, 2014",2,2
Liberals Know #GunControl Leaves Families Defenseless &Wont Stop Crimehttp://youtube.com/watch?v=3GMZRK-GXTQ… #2A #pjnet #nj2as,"Dec 30, 2014",1,5
"In 1980, we were 3x more likely to die by auto accident, then gov't policies saved lives. What's next? #guncontrol https://beta.cironline.org/reports/startling-gun-violence-fact-suicide-is-more-likely-than-homicide/…","Dec 27, 2014",4,2
"If Star Fleet's phasers were always set to kill, they'd never learn anything #guncontrol","Dec 26, 2014",7,5
#ImBlockedByShannonWatts BC she thinks #NJ #GunControl is working! #RKBA #2A #gunsense @GovChristie https://google.com/search?client=safari&channel=iphone_bm&site=&source=hp&ei=2hyjVJTWLcq2yATerYGgAw&q=shooting+site%3Arlsmedia.com&oq=shooting+site%3Arlsmedia.com&gs_l=mobile-gws-hp.3...2454.16414.0.17901.27.27.0.8.8.0.154.2625.14j13.27.0.msedr...0...1c.1.60.mobile-gws-hp..12.15.899.3.WUBaLUBVj2E…,"Dec 30, 2014",1,2
#guncontrol Regardless of what the idiot Leyonhjelm says most Aussies hate guns.  We do not want America here.,"Dec 19, 2014",1,2
http://conservativevideos.com/gun-control-ad-tells-kids-steal-parents-guns-bring-school/… This #GunControl ad shows a total lack of knowledge about #gun safety and what it takes to keep #citizens #safe.,"Dec 23, 2014",2,3
Why is every two bit leader protected by govt guns but people can't buy a gun with their own money? #GunControl shows who's the master.,"Dec 29, 2014",2,4
This not the Wild Wild West-Why is nobody taking seriously prevalence of guns in this Society #NRA #GunSense means  #GunControl,"Dec 24, 2014",1,2
Refreshing post by Alan Berlow on #GunControl - the NRA *doesn’t* always win http://nationalmemo.com/national-gun-lobby-gloats-states-seek-sanity-firearms/… @Everytown @bradybuzz @smartgunlaws,"Dec 27, 2014",16,15
"Well overdue, but excellent news nonetheless. Congratulations, Dr. Murthy. #guncontrol #vivekmurthy http://fb.me/6iVOT0r56","Dec 15, 2014",4,1
"#GunControl and Health Care Control are both, at heart, People Control .. https://youtube.com/watch?v=iTXZXY0fFmo… by @healthandcents | #2A Must Watch! RT","Dec 26, 2014",5,11
Rep. Stockman threatens to impeach Obama over #GunControl (1/14/13).. http://azweaponsite.com/forum/viewtopic.php?f=26&t=6473… #OperationChokePoint #2A .@SteveWorks4You RT,"Dec 26, 2014",1,2
Anger is normal. Add impulse control issues AND a gun... You've got big trouble. #guncontrol #gunsense #nra @NRA,"Dec 20, 2014",2,2
My latest...BAD MIX: Gun-Free Zones + Religion Of 'Peace' = Jihad http://ln.is/po.st/az83Y @jmattbarber @einfal #MyJihad #GunControl,"Dec 17, 2014",1,3
Gun Used In NYPD Murders Was Sold At Pawn Shop Where Guns Regularly End Up In Criminals’ Hands http://thkpr.gs/3606826 #GunControl,"Dec 25, 2014",0,5
#GunControl Ad Tells Kids to Steal Their Parents' #Guns and Bring Them to the Worst Possible Location http://ijreview.com/2014/12/220725-gun-control-activist-comes-unconventional-plan-getting-guns-homes/…#2A #tcot,"Dec 22, 2014",1,2
